Exercise,Muscle Group,Day Type
Treadmill,Cardio,Cardio
Cycling,Cardio,Cardio
Stairs,Cardio,Cardio
Rowing,Cardio,Cardio
Romanian Deadlifts,Hamstrings/Glutes/Back,Legs/Glutes
Deadlifts,Hamstrings/Glutes/Back,Legs/Glutes
Leg Extension,Quads,Legs
Hip Abductors,Glutes,Legs/Glutes
Leg Press,Quads/Glutes,Legs
Squats,Quads/Glutes,Legs/Glutes
Sumo Squats,Glutes/Inner Thighs,Glutes
Barbell Squats,Glutes/Inner Thighs,Glutes
Bulgarian Split Squats,Quads/Glutes,Glutes
Hamstring Curls,Hamstrings,Legs
Leg Abductors,Glutes,Legs/Glutes
Hip Thrusts,Glutes/Hamstrings,Legs/Glutes
Back Kicks,Glutes,Glutes
Cable Kickbacks,Glutes,Glutes
Calf Press,Calves,Legs/Glutes
Russian Twists,Obliques/Core,Core/Push Day
Hanging Knee Raises,Core,Push Day/Core
Plank,Core,Core/Push Day
Push-Ups,Chest/Triceps/Shoulders,Push Day/Chest/Upper Body
Dumbbell Curls (Overhead),Biceps,Back/Shoulders/Upper Body
Front Raises,Front Delts,Back/Shoulders/Upper Body
Lateral Raises,Lateral Delts,Back/Shoulders/Upper Body
Bench Press,Chest/Triceps/Front Delts,Chest/Push Day/Upper Body
Incline Dumbbell Press,Upper Chest/Shoulders,Chest/Push Day/Upper Body
Dumbbell Flyes,Chest,Chest/Push Day/Upper Body
Triceps Cable Pushdowns,Triceps,Arms/Push Day/Upper Body
Seated Cable Row,Back,Back/Shoulders/Upper Body
Dumbbell Rows,Back,Back/Shoulders/Upper Body
Face Pulls,Rear Delts/Traps,Back/Shoulders/Upper Body
Overhead Triceps Extension,Triceps,Push Day/Upper Body
Dumbbell Lateral Raises,Shoulders,Upper Body/Shoulders/Upper Body
Assisted Pull-Ups,Back/Biceps,Back/Upper Body
Assisted Dips,Back/Lats,Back/Upper Body
Overhead Dumbbell Press,Shoulders/Triceps,Push Day/Upper Body
